variable,group,transactions,fraud_count,normal_count,transaction_share,fraud_rate,fraud_coverage,fraud_rate_lift
recent_24h_high_amt_count,4~5,1140,899,241,0.0008791717276881253,0.7885964912280702,0.11977084998667732,136.23146219866214
recent_24h_high_amt_count,3,1342,1047,295,0.001034954788208302,0.7801788375558867,0.13948840927258194,134.77729738712756
recent_24h_high_amt_count,6~10,214,153,61,0.00016503749975899898,0.7149532710280374,0.02038369304556355,123.50946345727158
amt,900~1000,1602,943,659,0.0012354676383827868,0.5886392009987516,0.125632827071676,101.68848067613325
amt,800~900,1679,831,848,0.0012948502901652303,0.4949374627754616,0.11071143085531575,85.50133686975376
recent_24h_high_amt_count,2,3132,1520,1612,0.0024154086413326393,0.48531289910600256,0.2025046629363176,83.8386761854884
amt_to_prior_median_ratio,Missing,1649,741,908,0.0012717141920681745,0.4493632504548211,0.09872102318145484,77.62830972335534
prior_normal_median_amt,Missing,1649,741,908,0.0012717141920681745,0.4493632504548211,0.09872102318145484,77.62830972335534
amt,1000~1500,2641,950,1691,0.002036747835810824,0.3597122302158273,0.1265654143351985,62.14093473422701
amt,700~800,1910,663,1247,0.001472998245512561,0.3471204188481675,0.08832933653077538,59.96567667332103
amt_zscore_card,5 이상,10818,2460,8358,0.00834287697379837,0.2273987798114254,0.32773780975219824,39.28354820303491
amt_to_prior_median_ratio,10배 이상,17099,3455,13644,0.01318680471205198,0.20205859991812386,0.4602984279243272,34.905986550603956
amt,300~400,8600,1160,7440,0.006632348121156034,0.13488372093023257,0.15454303224087396,23.301405387318056
amt,600~700,1945,167,1778,0.0014999903599591262,0.08586118251928021,0.02224886757260858,14.832673706792923
amt_zscore_card,3~5,10984,878,10106,0.008470896716602078,0.07993445010924982,0.11697308819610978,13.808820023369506
amt_zscore_card,2~3,11392,826,10566,0.008785547650722038,0.07250702247191011,0.1100452970956568,12.525718540336271
rolling_sum_amt_1h,"(166.2, 28948.9]",129667,6220,123447,0.09999961439836505,0.04796902835725358,0.8286703970157208,8.286735923946415
count_30min,4~5,343,16,327,0.0002645227215763395,0.04664723032069971,0.0021316280309086064,8.058392935797135
amt_to_prior_median_ratio,5~10배,34701,1314,33387,0.026761524668864597,0.03786634390939742,0.1750599520383693,6.541479015283493
recent_24h_high_amt_count,1,45913,1694,44219,0.0354082557310043,0.03689586827260253,0.2256861177724487,6.373827603567397
