variable,group,transactions,fraud_count,normal_count,transaction_share,fraud_rate,fraud_coverage,fraud_rate_lift
category,misc_net,63287,915,62372,0.048807141342279294,0.014457945549638947,0.12190247801758593,2.4976360971993183
category,grocery_pos,123638,1743,121895,0.0953500298841267,0.014097607531665023,0.2322142286171063,2.4353870565043625
category,entertainment,94014,233,93781,0.07250390421655388,0.0024783542876592847,0.031041833200106582,0.42814016066488186
category,gas_transport,131659,618,131041,0.10153585131200957,0.004693944204346076,0.08233413269384493,0.8108873036464759
category,misc_pos,79655,250,79405,0.061430196464033006,0.003138534931893792,0.033306687982946975,0.5421875543316523
category,grocery_net,45452,134,45318,0.03505273102357954,0.0029481650972454456,0.017852384758859578,0.5093008230043616
category,shopping_net,97543,1713,95830,0.07522548055603756,0.017561485703740914,0.22821742605915268,3.033778240727185
category,shopping_pos,116672,843,115829,0.08997782790599032,0.007225383982446517,0.1123101518784972,1.2481980782625683
category,food_dining,91461,151,91310,0.07053502226849442,0.0016509769191239982,0.02011723954169997,0.28520923216161875
category,personal_care,90758,220,90538,0.06999286636975341,0.002424028735758831,0.02930988542499334,0.4187553238662513
category,health_fitness,85879,133,85746,0.06623016561590221,0.0015486905995645036,0.01771915800692779,0.2675390864895154
category,travel,40507,116,40391,0.03123913085391482,0.0028637025699261858,0.015454303224087397,0.49470976949893913
category,kids_pets,113035,239,112796,0.08717296161335725,0.0021143893484319018,0.03184119371169731,0.3652645628001514
category,home,123115,198,122917,0.09494669057396804,0.0016082524468992406,0.026378896882494004,0.27782850274221593
amt,0~50,672214,1607,670607,0.5184136348738119,0.002390607752888217,0.21409539035438316,0.4129817889656713
amt,100~200,173017,150,172867,0.13343127614861086,0.00086696682984909,0.019984012789768184,0.14977007914928975
amt,200~300,31631,795,30836,0.024393930630265872,0.025133571496316905,0.10591526778577139,4.341869680254026
amt,50~100,389514,45,389469,0.3003944704725548,0.00011552858177113018,0.005995203836930456,0.01995777028618175
amt,300~400,8600,1160,7440,0.006632348121156034,0.13488372093023257,0.15454303224087396,23.301405387318056
amt,600~700,1945,167,1778,0.0014999903599591262,0.08586118251928021,0.02224886757260858,14.832673706792923
amt,500~600,4558,94,4464,0.003515144504212698,0.020623080298376482,0.012523314681588063,3.5626742134155776
amt,1000~1500,2641,950,1691,0.002036747835810824,0.3597122302158273,0.1265654143351985,62.14093473422701
amt,400~500,6068,101,5967,0.004679661441764513,0.016644693473961768,0.013455901945110578,2.8754007341259493
amt,900~1000,1602,943,659,0.0012354676383827868,0.5886392009987516,0.125632827071676,101.68848067613325
amt,1500~2000,565,0,565,0.00043572984749455336,0.0,0.0,0.0
amt,700~800,1910,663,1247,0.001472998245512561,0.3471204188481675,0.08832933653077538,59.96567667332103
amt,2000+,731,0,731,0.0005637495902982629,0.0,0.0,0.0
amt,800~900,1679,831,848,0.0012948502901652303,0.4949374627754616,0.11071143085531575,85.50133686975376
trans_hour,0,42502,635,41867,0.03277768137736904,0.014940473389487554,0.08459898747668532,2.5809936493889922
trans_hour,1,42869,658,42211,0.033060712977423024,0.015349086752665097,0.08766320277111644,2.6515823427940335
trans_hour,2,42656,625,42031,0.03289644668093393,0.014652100525131283,0.08326671995736744,2.5311767184152156
trans_hour,3,42769,609,42160,0.03298359265043284,0.014239285463770488,0.08113509192645883,2.4598621740920064
