rank,feature,mean_abs_shap,importance_pct
1,trans_hour,2.756493508044013,25.40650923473861
2,category,2.0163892574927913,18.58499290559561
3,amt_zscore_card,1.5381464250441297,14.177044581539382
4,amt,1.06497252960871,9.815816481804902
5,rolling_sum_amt_1h,0.7807634129716926,7.196270480566868
6,amt_to_prior_median_ratio,0.7621383892623808,7.024604254803242
7,age,0.6896040528556857,6.356057682001769
8,prior_normal_median_amt,0.48054912167895775,4.429205315395587
9,high_speed,0.45638367480016995,4.2064731930467225
10,recent_24h_high_amt_count,0.20622904639282766,1.9008062802834846
11,count_30min,0.09788682184964051,0.9022195902238257
