rank,feature,single_feature_pr_auc,full_model_pr_auc,difference_from_full,best_iteration,elapsed_seconds
1,recent_24h_high_amt_count,0.36149524831817814,0.977638,-0.6161427516818219,2,3.0103261999902315
2,amt_to_prior_median_ratio,0.316885867142067,0.977638,-0.660752132857933,86,11.897228499990888
3,rolling_sum_amt_1h,0.2748537532956364,0.977638,-0.7027842467043637,241,20.835845800000243
4,amt,0.26350336963545384,0.977638,-0.7141346303645462,197,17.66146159998607
5,amt_zscore_card,0.16935114581755217,0.977638,-0.8082868541824478,132,14.974702599982265
6,prior_normal_median_amt,0.12592460934142607,0.977638,-0.8517133906585739,14,8.88161240000045
7,trans_hour,0.024001864720504897,0.977638,-0.9536361352794951,86,8.817645700008143
8,category,0.01321299291530097,0.977638,-0.964425007084699,17,8.84387459998834
9,count_30min,0.01091650951977795,0.977638,-0.966721490480222,12,6.528395700006513
10,age,0.006900189260376031,0.977638,-0.970737810739624,169,15.87223459998495
11,high_speed,0.00631457481627288,0.977638,-0.9713234251837272,1,4.041412599995965
